distractor	x	y
distractor	240	485
distractor	211	639
distractor	218	947
distractor	193	1242
distractor	380	280
distractor	402	452
distractor	408	929
distractor	421	1253
distractor	574	319
distractor	624	1085
distractor	581	1254
distractor	587	1433
distractor	800	298
distractor	778	629
distractor	817	749
distractor	790	1397
distractor	985	429
distractor	967	793
distractor	999	933
distractor	975	1248
distractor	1163	304
distractor	1124	630
distractor	1189	1085
distractor	1187	1421
distractor	1309	623
distractor	1302	766
distractor	1336	1092
distractor	1306	1372
distractor	1493	284
distractor	1488	477
distractor	1562	932
distractor	1525	1078
distractor	1742	463
distractor	1700	629
distractor	1711	1248
distractor	1688	1442
distractor	1883	438
distractor	1913	771
distractor	1923	935
distractor	1897	1279
