target	x	y
target	252	329
target	221	806
target	193	1115
target	241	1392
target	426	581
target	412	796
target	396	1058
target	392	1399
target	620	447
target	574	628
target	626	810
target	568	935
target	791	473
target	816	964
target	767	1127
target	785	1246
target	972	287
target	940	579
target	968	1082
target	940	1375
target	1120	473
target	1136	740
target	1118	916
target	1166	1235
target	1306	306
target	1345	421
target	1368	938
target	1333	1287
target	1543	601
target	1558	784
target	1510	1275
target	1490	1386
target	1689	307
target	1713	796
target	1716	929
target	1714	1059
target	1928	284
target	1901	651
target	1885	1098
target	1908	1434
