distractor	x	y
distractor	259	268
distractor	257	957
distractor	215	1079
distractor	202	1242
distractor	422	329
distractor	446	487
distractor	372	1110
distractor	413	1232
distractor	601	321
distractor	621	648
distractor	593	1086
distractor	624	1439
distractor	790	300
distractor	787	490
distractor	774	629
distractor	759	1395
distractor	940	259
distractor	938	920
distractor	935	1258
distractor	990	1377
distractor	1185	282
distractor	1184	471
distractor	1143	618
distractor	1158	1274
distractor	1350	296
distractor	1319	478
distractor	1315	795
distractor	1338	1213
distractor	1554	282
distractor	1506	638
distractor	1513	1112
distractor	1515	1261
distractor	1680	272
distractor	1698	629
distractor	1708	790
distractor	1721	1414
distractor	1913	759
distractor	1914	942
distractor	1902	1095
distractor	1908	1231
