target	x	y
target	222	488
target	207	600
target	259	764
target	189	1425
target	433	631
target	386	759
target	377	922
target	433	1387
target	592	444
target	613	810
target	632	951
target	584	1276
target	772	799
target	766	905
target	763	1083
target	774	1272
target	1002	480
target	979	643
target	936	754
target	970	1067
target	1145	797
target	1122	963
target	1178	1062
target	1156	1372
target	1371	617
target	1315	910
target	1374	1128
target	1318	1406
target	1493	466
target	1513	761
target	1540	944
target	1510	1406
target	1712	485
target	1726	933
target	1692	1109
target	1717	1266
target	1915	269
target	1861	446
target	1928	586
target	1887	1386
