ppname,ANS.p_correct,CANCELLATION_MARKED.bestR,CANCELLATION_MARKED.interdist,CANCELLATION_MARKED.intersect_rate,CANCELLATION_MARKED.intertime,CANCELLATION_UNMARKED.intertime,CATTELL_1.n_correct,CATTELL_2.n_correct,DEPRIVATION.IDACI_Rank,DEPRIVATION.Index_of_Multiple_Deprivation_Rank,DIGIT_SPAN.n_correct,DOT_MATRIX.n_correct,GONOGO.dprime,QUESTIONNAIRE_1.Q10_RT,QUESTIONNAIRE_1.Q10_resp,QUESTIONNAIRE_1.Q11_RT,QUESTIONNAIRE_1.Q11_resp,QUESTIONNAIRE_1.Q12_RT,QUESTIONNAIRE_1.Q12_resp,QUESTIONNAIRE_1.Q13_RT,QUESTIONNAIRE_1.Q13_resp,QUESTIONNAIRE_1.Q14_RT,QUESTIONNAIRE_1.Q14_resp,QUESTIONNAIRE_1.Q15_RT,QUESTIONNAIRE_1.Q15_resp,QUESTIONNAIRE_1.Q16_RT,QUESTIONNAIRE_1.Q16_resp,QUESTIONNAIRE_1.Q17_RT,QUESTIONNAIRE_1.Q17_resp,QUESTIONNAIRE_1.Q18_RT,QUESTIONNAIRE_1.Q18_resp,QUESTIONNAIRE_1.Q19_RT,QUESTIONNAIRE_1.Q19_resp,QUESTIONNAIRE_1.Q1_RT,QUESTIONNAIRE_1.Q1_resp,QUESTIONNAIRE_1.Q2_RT,QUESTIONNAIRE_1.Q2_resp,QUESTIONNAIRE_1.Q3_RT,QUESTIONNAIRE_1.Q3_resp,QUESTIONNAIRE_1.Q4_RT,QUESTIONNAIRE_1.Q4_resp,QUESTIONNAIRE_1.Q5_RT,QUESTIONNAIRE_1.Q5_resp,QUESTIONNAIRE_1.Q6_RT,QUESTIONNAIRE_1.Q6_resp,QUESTIONNAIRE_1.Q7_RT,QUESTIONNAIRE_1.Q7_resp,QUESTIONNAIRE_1.Q8_RT,QUESTIONNAIRE_1.Q8_resp,QUESTIONNAIRE_1.Q9_RT,QUESTIONNAIRE_1.Q9_resp,QUESTIONNAIRE_2.Q10_RT,QUESTIONNAIRE_2.Q10_resp,QUESTIONNAIRE_2.Q11_RT,QUESTIONNAIRE_2.Q11_resp,QUESTIONNAIRE_2.Q12_RT,QUESTIONNAIRE_2.Q12_resp,QUESTIONNAIRE_2.Q13_RT,QUESTIONNAIRE_2.Q13_resp,QUESTIONNAIRE_2.Q14_RT,QUESTIONNAIRE_2.Q14_resp,QUESTIONNAIRE_2.Q15_RT,QUESTIONNAIRE_2.Q15_resp,QUESTIONNAIRE_2.Q16_RT,QUESTIONNAIRE_2.Q16_resp,QUESTIONNAIRE_2.Q1_RT,QUESTIONNAIRE_2.Q1_resp,QUESTIONNAIRE_2.Q2_RT,QUESTIONNAIRE_2.Q2_resp,QUESTIONNAIRE_2.Q3_RT,QUESTIONNAIRE_2.Q3_resp,QUESTIONNAIRE_2.Q4_RT,QUESTIONNAIRE_2.Q4_resp,QUESTIONNAIRE_2.Q5_RT,QUESTIONNAIRE_2.Q5_resp,QUESTIONNAIRE_2.Q6_RT,QUESTIONNAIRE_2.Q6_resp,QUESTIONNAIRE_2.Q7_RT,QUESTIONNAIRE_2.Q7_resp,QUESTIONNAIRE_2.Q8_RT,QUESTIONNAIRE_2.Q8_resp,QUESTIONNAIRE_2.Q9_RT,QUESTIONNAIRE_2.Q9_resp,QUESTIONNAIRE_3.Q10_RT,QUESTIONNAIRE_3.Q10_resp,QUESTIONNAIRE_3.Q11_RT,QUESTIONNAIRE_3.Q11_resp,QUESTIONNAIRE_3.Q12_RT,QUESTIONNAIRE_3.Q12_resp,QUESTIONNAIRE_3.Q1_RT,QUESTIONNAIRE_3.Q1_resp,QUESTIONNAIRE_3.Q2_RT,QUESTIONNAIRE_3.Q2_resp,QUESTIONNAIRE_3.Q3_RT,QUESTIONNAIRE_3.Q3_resp,QUESTIONNAIRE_3.Q4_RT,QUESTIONNAIRE_3.Q4_resp,QUESTIONNAIRE_3.Q5_RT,QUESTIONNAIRE_3.Q5_resp,QUESTIONNAIRE_3.Q6_RT,QUESTIONNAIRE_3.Q6_resp,QUESTIONNAIRE_3.Q7_RT,QUESTIONNAIRE_3.Q7_resp,QUESTIONNAIRE_3.Q8_RT,QUESTIONNAIRE_3.Q8_resp,QUESTIONNAIRE_3.Q9_RT,QUESTIONNAIRE_3.Q9_resp,READING.n_correct,SUMS.n_correct
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699,24800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.4396551724,0.4175922693,309.5095012057,0.2051282051,0.6675,0.403,4,3,1118,1170,6,0,3.461518207,18.6679,2,22.501,4,9.9338,1,11.434,0.7600502,8.6671,0.7644472,18.001,1,6.5339,0.005653266,13.767,0.5,13.668,0,8.4004,0.2430905,9.0674,0.5,16.0673,0.5094221,25.0009,1,18.7672,0.2386935,21.4678,3,11.5674,0,10.2338,0,10.3671,2,11.7674,4,9.767,0.1193467,4.967,0.3546901,10.234,1,8.967,0.9930905,6.334,0.2650754,12.601,0.6677136,12.067,0.6620603,8.167,0.3266332,20.068,0.3410804,10.001,0.3266332,13.334,0.3410804,17.201,0.3548995,10.034,0.334799,23.501,0.65201,11.167,0,7.9,0.1633166,33.334,0.3341708,17.734,0.08333334,41.769,2,51.67,0.620603,9.401,0.6702262,30.569,0.1670854,19.501,0.04208543,43.301,0.5414573,48.769,0.169598,15.134,0.2791038,24.035,0.003140704,46.869,0.3285176,41,9
3,0.5086206897,0.5820171216,339.600309268,0.1315789474,0.836,0.7,1,3,20238,27978,10,6,3.3656985709,12.9675,1,9.0001,2,8.1673,2,21.2678,0.1067839,10.2327,0.2669598,8.3671,0.7529313,15.168,0.8548995,6.8334,0.2550251,8.9338,0.5917085,5.567,0.984087,12.834,0.8994975,22.7343,0.508794,12.3339,0.7512563,10.1339,0.758794,28.4344,2,9.6672,0,7.3674,0,6.7004,0,13.5676,3,5.567,0.01005025,7.167,0.3530151,6.834,0.3297739,7.901,0.1670854,4.234,0,22.402,0.6633166,6.2,0.9491206,7.667,1,8.268,1,8.7,0.02072864,10.066,0.3308208,7.767,0.3377303,7.034,0,7.5,0,8.267,0.5603015,8.834,0.03517588,12.034,0.6501256,16.734,0.06155779,8.367,2,7.268,0.1666667,7.667,0.6853015,40.602,0.02884793,10.201,0,28.834,0.3429648,22.801,0.1658292,15.068,1,15.635,0.09505862,22.868,0,24,28
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10566,13506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.6896551724,0.4710111819,338.6380079702,0.25,0.4,0.465,6,3,31742,32361,12,4,4.083031798,8.6669,1,8.3338,2,12.9339,0,10.2009,0,6.2337,0.5,7.1005,0.2577471,5.8335,0.758794,7.8669,0.2546064,5.8008,0.2342965,8.4,0.409129,11.9673,0.8994975,9.1003,0.2401591,9.2339,0.5,6.4664,0.001884422,11.4007,1,13.5005,0,17.1344,0,6.8005,0,8.6339,3,6.8,0.6721106,5.233,1,6.2,1,8.067,0.3574121,8.534,0.6681323,8.067,0.6777638,9.133,1,8.768,0.9918342,7.601,1,6.8,0.9886935,9.234,0.3454774,7.367,0.3291457,4.1,0.0169598,6.4338,0.3398241,6.134,0,5.1,0,12.2,0.08354271,23.135,0,9.368,0,9.167,0.6708543,7.967,0.3373116,27.634,0.0318258,10.001,0.1451005,7.701,2,13.367,0.07586545,26.701,0.1758794,15.633,0,25.938,0.03755661,52,54
6,0.75,0.3209110922,356.5468713893,0.2564102564,0.501,0.398,7,3,1481,1503,6,NaN,1.8882445425,9.6677,1,9.8006,3,16.701,1,16.1007,0,10.6007,0.9830402,8.467,0.25,5.8337,0.7550251,5.9669,1,4.2002,1,4.1335,0,12.2676,0.5,24.568,1,9.5342,0.7508376,9.4676,0.5056533,15.334,4,9.0004,0,8.5004,0,5.0003,0,16.9015,1,7.867,0.830402,13.134,1,7.667,1,6.633,0.9937186,8.734,0.3209799,4.267,0.3109297,9.201,0.6733668,5.401,0.6689699,6.501,0.9937186,6.9,1,5.901,0.6564071,10.434,0.9880653,4.667,0.8322864,4.167,0.6281407,3.867,0.4924623,4.633,0.3410804,19.533,0.1677136,21.668,0.1268844,6.267,0,6.134,1,14.034,0.1482412,22.901,0.6660386,44.969,0.9937186,15.701,0.5107481,33.269,0.8360553,24.834,1,19.401,0.8234925,22.134,0.5027219,49,38
7,0.5775862069,0.9119058628,304.7270843845,0.175,0.732,0.4835,1,6,25360,28985,10,2,NaN,14.6341,1,5.5001,2,3.7334,3,13.134,0.7713568,6.4004,1,10.6339,0.5,10.3339,1,NaN,NaN,NaN,NaN,NaN,NaN,12.7009,0.5,33.1015,0.2644472,10.0343,0.9981156,20.935,0.008165829,22.5343,4,8.3002,0,6.2,2,2.8003,2,39.8022,1,15.201,0.3461055,4.501,0.7832915,3.933,1,4.633,0.3360553,6.7,0.3360553,6.7,0.9930905,18.834,0.9905779,8.001,0.9974874,7.334,0.8781407,5.334,0,9.001,1,16.967,0.3320771,7.867,0.4811558,17.635,0.6582915,7.7,0.5387353,9.467,0.06030151,20.0013,0.416876,22.235,0.05136796,19.768,2,7.234,1,8.367,0.3291457,32.769,0.1407035,13.033,0.1702261,9.134,1.100208,12.267,0.3335427,29.268,0.07223618,27.302,0.06218593,19.668,0.339196,32,22
8,0.7155172414,0.959222969,469.9316417642,0.025,0.9645,0.733,11,6,30862,32470,10,14,3.6709312963,35.9021,3,8.5338,2,8.8005,0,8.4004,1,5.267,0.5,11.0006,0.5,14.1676,0.008165829,6.9671,0.7512563,16.0675,0.5307789,9.8338,0.005025126,32.0024,0.7562814,15.4676,0,25.0009,0.75,12.9673,0.5037689,43.9028,4,10.1337,0,13.7341,0,13.1007,0,22.8677,2,9.968,0.0741206,7.601,0.3190955,5.2,0.3241206,5.134,0.334799,6.7,0.3385679,9.667,0.9817839,18.001,0.3312395,17.937,0.5307789,9.234,1,5.701,0.9937186,10.733,0.6645728,11.201,0.3203517,10.968,0.4302764,13.468,0,8.034,0.3234925,6.633,0.3454774,12.334,0,18.568,0.2324121,10.7,0,7.968,0.832077,13.167,0.3253769,19.334,0,14.868,0,12.801,1.704355,13.367,0.04082914,18.598,0.08731156,19.001,0.001884422,15.901,0.02952261,57,40
9,0.525862069,0.5227109589,339.8078298272,0.25,0.501,0.432,2,5,29148,26957,10,4,NaN,11.3342,1,2.3334,3,3.0668,2,9.9004,0.01193467,7.5674,0.8153266,5.5002,0.2518844,3.1334,0.5,NaN,NaN,NaN,NaN,NaN,NaN,10.9176,1,13.3339,0,7.2333,0.5144472,5.3335,0.008165829,28.135,2,8.8001,0,4.7336,0,4.7671,2,10.7671,4,5.601,0.3234925,5.733,0.6708543,3.767,0.6664573,7.7666,0.6564071,4.633,0.02198493,8.301,1,6.568,0.669598,6.3,0.6350502,7.3,0.9968593,6.567,1,10.198,1,12.7,0.3222362,4.368,0.3379397,9.568,0.3247488,6.501,0.6706449,13.534,0.330402,16.001,0.1243719,24.968,0,8.567,2,14.735,0.3316583,14.434,0.991206,13.334,0.1765075,12.9006,0,7.3,0.9949749,13.701,0.1714824,16.467,0,17.934,0.0006281407,12.634,0.3096734,27,23
10,0.7068965517,0.8147150785,331.2131808756,0.380952381,0.891,0.666,5,9,20238,27978,8,9,3.5015306449,12.7337,1,9.1674,2,10.6008,1,8.5337,0.2449749,5.267,0.75,8.4338,0.9937186,6.4339,0.7537689,4.3666,0.5,6.667,0.5,4.966,0,11.4008,0.2537688,9.9006,0.01319095,12.7672,0.7506281,14.2675,0.5,20.0676,0,8.8338,2,7.2337,0,7.4333,0,11.9011,0,3.8,0.9842965,4.833,0.6708543,4.434,0.3090452,4.867,0,3.2,0.01005025,6.534,0.9962311,6.3,0.9981156,8.634,0.6350502,17.634,0.2958543,5.3,0,8.501,0.6714824,8.1,0,5.667,0.3337521,4.834,0.6714824,3.667,0.6482412,3.868,0.3310302,13.3,0.04145729,20.501,0.16555,6.8,0,5.267,0.6771357,6.367,0.003768844,12.534,0.9930905,11.301,0,11.768,2,12.267,0.5012563,20.868,0.01109715,18.868,0.07537688,16.767,0,52,67
